video_id,comment_id,comment_text,comment_like_count,comment_published_at,team,team_abbreviation,conference,channel_title,video_title,published_at
_od_DR7NUVA,UgzPiiObEvcNjZ0stUh4AaABAg,🔥🔥🔥,0,2026-05-24T12:57:47Z,Boston Celtics,BOS,East,Boston Celtics,Payton Pritchard 2025-2026 Full Season Highlights,2026-05-24T12:30:05Z
_od_DR7NUVA,UgzSI9IO_Xd3uhFG0bV4AaABAg,Please read my comment. I always wanted to meet Jayson Tatum or talk to him,1,2026-05-24T13:42:38Z,Boston Celtics,BOS,East,Boston Celtics,Payton Pritchard 2025-2026 Full Season Highlights,2026-05-24T12:30:05Z
voQCd53zWtE,Ugz8JQjjbewFDp6vZB94AaABAg,"I know this was a bad playoff year for us, but I really believe that next year, if we draft well, we will be the one seed in the east",3,2026-05-25T12:09:06Z,Boston Celtics,BOS,East,Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts",2026-05-23T13:00:02Z
voQCd53zWtE,UgwEa4vCAMhs-jrW4yF4AaABAg,W❤,3,2026-05-23T14:13:13Z,Boston Celtics,BOS,East,Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts",2026-05-23T13:00:02Z
voQCd53zWtE,Ugx7rxQx1Bj5xErEc8l4AaABAg,damn,3,2026-05-23T13:23:11Z,Boston Celtics,BOS,East,Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts",2026-05-23T13:00:02Z
voQCd53zWtE,UgyNUeGLRZEngCNQ9tp4AaABAg,Always a Celtics Fan! Love this team!❤️💚🍀❤️,1,2026-05-24T12:27:45Z,Boston Celtics,BOS,East,Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts",2026-05-23T13:00:02Z
voQCd53zWtE,UgwwwkvvUj6D2TCfJAB4AaABAg,Celtics fan forever 💚💚💚💚,2,2026-05-23T15:49:15Z,Boston Celtics,BOS,East,Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts",2026-05-23T13:00:02Z
voQCd53zWtE,UgxA6-C-xRhfbv29KfN4AaABAg,Celtics for life ❤,1,2026-05-24T00:38:46Z,Boston Celtics,BOS,East,Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts",2026-05-23T13:00:02Z
voQCd53zWtE,UgyI2a3u55ybbYihCEx4AaABAg,I enjoyed every game last season and can't wait until October. From watching all the new players to JT's return❤,0,2026-05-31T20:35:47Z,Boston Celtics,BOS,East,Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts",2026-05-23T13:00:02Z
voQCd53zWtE,UgxjAfjjlKH6vCmaaLV4AaABAg,Loved,2,2026-05-23T13:59:37Z,Boston Celtics,BOS,East,Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts",2026-05-23T13:00:02Z
voQCd53zWtE,UgzznTTX0oc6g8Fs32d4AaABAg,My king 👑,0,2026-05-27T05:15:52Z,Boston Celtics,BOS,East,Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts",2026-05-23T13:00:02Z
voQCd53zWtE,UgyVetihaagiVF8xa7d4AaABAg,"Wish we were there now.
It's alright seeing Victor Wemby do his thing. It's definitely been a gumball toss up.
And a physically intense competitive one.

Stay In The Fight !!!
🍀💚🏀",0,2026-05-25T21:04:09Z,Boston Celtics,BOS,East,Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts",2026-05-23T13:00:02Z
voQCd53zWtE,UgywmgZfwXYlGxCCiEp4AaABAg,Can you read mine I’ve lived the Boston Celtics I always watch them,2,2026-05-23T13:59:09Z,Boston Celtics,BOS,East,Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts",2026-05-23T13:00:02Z
voQCd53zWtE,Ugy4BVZUpxux5lGH4DN4AaABAg,I hope I'm wrong but if the NBA is really rigged and I've been a fan DieHard fan of the Celtics for so long the last 40 years it will be so sad it was all written I wonder if that's why a lot of people don't watch sports 🤔😮‍💨,1,2026-05-23T17:04:21Z,Boston Celtics,BOS,East,Boston Celtics,"Framing moments, one at a time 🎞️ #celtics #nba #shorts",2026-05-23T13:00:02Z
yi1I8LsDgQo,UgzNHB3FyQ7AWpO68-h4AaABAg,Congrats to Derrick White for all defensive first team!,22,2026-05-23T01:28:38Z,Boston Celtics,BOS,East,Boston Celtics,Derrick White: best shotblocking guard in the NBA #celtics #shorts,2026-05-22T23:48:04Z
yi1I8LsDgQo,UgyprQZ5fqHbKkfTnCN4AaABAg,He’s so chill after too,8,2026-05-23T01:23:06Z,Boston Celtics,BOS,East,Boston Celtics,Derrick White: best shotblocking guard in the NBA #celtics #shorts,2026-05-22T23:48:04Z
yi1I8LsDgQo,UgwHlObqk90ROPVLuX94AaABAg,"WD 💚🏀🏆😎🙌🏻, we need him mentally and physically rested for next season.",5,2026-05-23T03:53:58Z,Boston Celtics,BOS,East,Boston Celtics,Derrick White: best shotblocking guard in the NBA #celtics #shorts,2026-05-22T23:48:04Z
yi1I8LsDgQo,Ugy79SMeJl0OFPd49qR4AaABAg,He is so clutch 😁🍀,5,2026-05-23T00:13:52Z,Boston Celtics,BOS,East,Boston Celtics,Derrick White: best shotblocking guard in the NBA #celtics #shorts,2026-05-22T23:48:04Z
yi1I8LsDgQo,UgzBt6SahiyJW01wxad4AaABAg,Do that next year dwhite go celtics,3,2026-05-23T13:59:03Z,Boston Celtics,BOS,East,Boston Celtics,Derrick White: best shotblocking guard in the NBA #celtics #shorts,2026-05-22T23:48:04Z
